Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 5191(a) ,Stafford Act,Requires requests for declaration of emergency to be made by governor of affected state,Stafford Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Terrorism,Act of War","Emergency, defined as a ""situation of such severity and magnitude that effective response is beyond the capacity of the State"" requiring federal assistance",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §5191(b) ,Stafford Act,President may exercise authority with respect to emergency when he determines that primary responsibility resides with federal government,Stafford Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Terrorism,Act of War","Must be an emergency that involves a ""subject area for which, under the Constitution or laws of the U.S., the U.S> exercises exclusive or preeminent responsibility and authority."" Must consult affected governors. ",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,financial and other assistance to states,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5191(c) ,Stafford Act,Chief Executive of Indian trial government may submit a request for emergency declaration,Stafford Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Terrorism,Act of War","Emergency, defined as a ""situation of such severity and magnitude that effective response is beyond the capacity of the State"" requiring federal assistance",Indian Tribal Government trigger,Domestic,Unclear,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Financial and other assistance to tribal nations,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. § 5192,Stafford Act,POTUS may direct any federal agency with or without reimbursement to utilize authorities ISO state and local emergency assistance efforts (for public health and safety),Stafford Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States",Presidential Emergency Declarations,Emergency declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,May authorize reimbursement but not required,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
44 C.F.R. §§80.1–80.21,Stafford Act,Open Space Property Award Plans,Stafford Act,Federal Emergency Management Agency,No triggering event - Capacity Building,"No health emergency required; however, hospitals may be one of the structures that is moved as a result of hazard assessments","Yes,Indian Tribal Government trigger",Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,Parallel Table U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),"Passed Oct. 31, 2007; Amended Sept. 10, 2021",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,FEMA Open Space Project Awards,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
44 C.F.R. §§201.1–201.7,Stafford Act,Disaster Assistance - Mitigation Planning,Stafford Act,Federal Emergency Management Agency,No triggering event - Capacity Building,No health emergency required; guidance on mitigation planning,"Yes,Indian Tribal Government trigger",Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,Parallel Table U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),"Passed Nov. 14, 2001",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Hazard Mitigation Grant Program,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
5 U.S.C. § 5303,National Emergencies Act,"Gives the President the ability to change yearly pay adjustments for federal employees in the event of a national emergency or serious economic issues affecting the welfare of the country.
",National Emergencies Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Emergency Declarations",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
5 U.S.C. § 5304a,National Emergencies Act,"This section allows the president to change locality-based pay raises in the event of a national emergency or serious economic condition.
",National Emergencies Act,"Broadly applies to any relevant federal agency,Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Emergency Declarations",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
21 U.S.C. § 356j,Public Health Service Act,"Empowers HHS Secretary to determine when information on potential supply disruptions of a device is needed during or before a public health emergency and requires manufacturers to notify the Secretary of any manufacturing interruptions likely to cause significant supply disruptions in the U.S. during such emergencies, such as PHE outlined in section 319.",Public Health Service Act,Department of Health and Human Services,Health Emergency,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),"*not sure what the triggers are, in the code itself it seems like the triggers are increased demand, resource reallocation, and manufacturing disruptions, but it also mentions health emergencies without further clarification",https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
21 U.S.C. § 360eee-1,Public Health Service Act,Requires that the HHS Secretary set issue guidance for groups/individuals to request waivers of certain product tracing requirements. ,Public Health Service Act,Department of Health and Human Services,"Health Emergency,No triggering event - Capacity Building","If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),"*unclear on whether there is or is not a state trigger, I think that there isn't one based off my current research, however, Cornell Legal Info Institute alludes to the potential for state triggers ",https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
21 U.S.C. § 802,Public Health Service Act,Empowers the HHS Secretary (alongside the Attorney General) to designate specific geographic areas and controlled substances for telemedicine practice during a PHE as established under Section 319. ,Public Health Service Act,"Department of Justice - Drug Enforcement Administration,Department of Health and Human Services",No triggering event - Capacity Building,"N/A
",Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
29 U.S.C. § 1148,Public Health Service Act,"Empowers the the Secretary of Labor to postpone certain deadlines under the Employee Retirement
Income Security Act, in events including PHE. ",Public Health Service Act,Department of Labor,"Health Emergency,Terrorism,PHSA Emergency Declaration","If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Exclude,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
42 U.S.C. § 204a,Public Health Service Act,"Defines ""Urgent or emergency public health care need"" as a health care need determined by the HHS Secretary due to presidentially declared national emergency, emergencies declared under the Stafford act, PHE determined by Section 319, or emergencies deemed appropriate by the HHS Secretary for deploying the Commissioned Corps of the Public Health Service.",Public Health Service Act,Department of Health and Human Services,"Presidential Emergency Declarations,Health Emergency,Presidential Major Disaster Declaration","""Urgent or emergency public health care need"" as determined by the Secretary, arising as the result of— (A) a national emergency declared by the President under the National Emergencies Act ( 50 U.S.C. 1601 et seq.); (B) an emergency or major disaster declared by the President under the Robert T. Stafford Disaster Relief and Emergency Assistance Act ( 42 U.S.C. 5121 et seq.); (C) a public health emergency declared by the Secretary under section 247d of this title ; or (D) any emergency that, in the judgment of the Secretary, is appropriate for the deployment of members of the Corps""",Not applicable,Domestic,Yes,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
42 U.S.C. § 238m,Public Health Service Act,Authorizes the HHS Secretary to contract with fiscal agents to determine payment  for individuals/agencies providing health services on behalf of the Public Health Service.,Public Health Service Act,Department of Health and Human Services,No triggering event - Capacity Building,"N/A
",Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,
42 U.S.C. § 247d-4a,Public Health Service Act,"Empowers the HHS Secretary to utilize the Infectious Diseases Rapid Response Reserve Fund during infectious disease emergencies declared as public health emergencies under Section 319, or for emergencies the Secretary believes can adversely impact US national security of US citizens' lives.  ",Public Health Service Act,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",PHSA Emergency Declaration,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/V0RdWbkNPwzg2b5z2NqNVQ/M9yzxy66-jM8fey8FqLRELNWRix_L3J14bZoMArojyfqFByBMZZOA40V8Gh1rl9c2epDoMH1nmw4fhkoNupeD1Tg9DiE_fElabx7u1qCivL3_PwmQMMLliyGdBCiotzSR3_MD9UYQhJ_YSqRlEVP2g/NKmS4d1AD1quqNHbB_dg11d4zf8kWPHPohosSsGcWP8),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,Yes,the Infectious Diseases Rapid Response Reserve Fund,No,,,
42 C.F.R.§ 489.24,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Special responsibilities of Medicare hospitals in emergency cases,42 C.F.R. § 489.24 - Special Responsibilities of Medicare Hospitals ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,No,Domestic,No,Regulation,Include,General Health Law,,4/4/1980,1/1/2023,42 CFR 489.24 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/WDPJSel7R_33sH4kPIk9Fg/0weEc-BeoLRIvJE6uNOXkSMOl6MfSZ2A5Nuptw5ZwwAwLVsRqujMZD8pmQTt6hyKj4Tsx8PGFe1No7RRA4FNrnlnmzmX39KIgqrlFcVrgVo_arzhzqB2V-cITVtvfbpNpbYO3jajaGdP6B-e137x3l2djpnjre1c2VnEh6FwJjJS9zyshh_TF8adPHF_97Dm/bzn7m0kkjiK_3aRMg6Fd_b2bAJHEEY3KGYZvaTZBIDk),,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-G/part-489/subpart-B/section-489.24#,,,,"* 489.24(a)(2) - limits waiver under Section 1135 to 72 hours
",,
42 C.F.R. § 512.294,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Extreme and uncontrollable circumstances,42 C.F.R. 512.294 - Extreme and Uncontrollable Circumstances ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,No,Domestic,No,Regulation,Include,General Health Law,,9/29/2020,1/1/2022,42 CFR 489.24 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/vvRWS5b4fBGwesdhS5lWPA/zifvQoWqHXabMeLULIkdutAqSerZlf02-OIHZytz5jgs2enwgtsDMfUCas9TOzX8UCbvSFUfnNoDyE6w7uuwb9HJe1fyiHVkk9zt9xHwtGN2GWQ-C3gZnz2YPUSv2_RHb_tu6GdMLQvnmemckCBt7FREdhEPVYWer8AKqc1l17ZwlztLed-bzpE5YxrmxAni/EGP8k8y0qYaLGYfUlYszXTDbx4gehjlcUC8qZiX8ux0),,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-H/part-512/subpart-B/subject-group-ECFR5cc0672500dbd43/section-512.294,,,,"* § 512.294(a) - sets out waiver authority for Radiologist/Oncology providers in ""extreme and uncontrollable circumstances"" 
* § 512.294(b) - sets out conditions for ""extreme and uncontrollable circumstances""
",,
52 C.F.R. § 510.305,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Determination of the NPRA and reconciliation process,52 C.F.R. § 510.305 - Determination of the NPRA and reconciliation,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,No,Domestic,No,Regulation,Include,General Health Law,,11/24/2015,7/2/2021,42 CFR 510.305 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/my9ikIfe0q-lqcAlTj4Ihw/Sok4FdfiEHoq6gtSaO7fFZGSaQ3JCYf6EUdIMa-oTRPLgCezrxLZ_WozHbE3cFHoliLw9avOE18C70ggce4toz1a5a5i1wWJJhmXKyPsJhE3HJaCPc0J5-fvwYQjOLm9QwBW29B04f75yOrk3N5GcRe4aLBzkKztTewahFi29IjXzPxP0Loc7qcSv1QrP4kT/Ki_gumtgOQ1HEbJfyVWQlOTLXMUgPsCiKriKJg3RBFI),,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-H/part-510/subpart-D/section-510.305,,,,"* § 510.305(k) - adjusts net payment reconciliation amount in ""extreme and uncontrollable circumstances""",,
10 U.S.C. § 123,National Emergencies Act,"Allows the President to suspend any law relating to the promotion, involuntary retirement, or separation of officers in the military in the time of war or national emergency until one year after the event is over.",National Emergencies Act,"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States","Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations,Terrorism",The president has the power to mobilize armed forces to respond to public health outbreaks and assist in emergencies.,No,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
10 U.S.C. § 123a,National Emergencies Act,Allows the President to defer any law limitations for the armed forces in the event of a war or national emergency until six months after the event.,National Emergencies Act,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States","Act of War,Presidential Emergency Declarations",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
