Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
9 C.F.R. §§ 49–56,Cooperative Control and Eradication of Livestock or Poultry Diseases,Sets out requirements for containing diseases carried by livestock or poultry ,Title 9 CFR,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness and public health preservation,"Regulations on Interstate or Foreign Commerce,Quarantine",Not applicable,Both,No,Regulation,No,,No,"* § 49: Rules of practice governing proceedings under certain act
* § 50 - Animals destroyed because of Tuberculosis
* § 51 - Animals destroyed because of Brucellosis
* § 52 - Swine destroyed because of Pseudorabies 
* § 53 - Food and Mouth Disease, Pleuropneumonia, Rinderpest, and Certain Other Communicable Diseases of Livestock or Poultry
* § 56 - Control of H5/H7 Low Pathogenic Avian Influenza ","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,,1/1/2012,CFR-2012-title9-vol2.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/4XEzuyuO_KmbPf8stPnpqw/VNdyOp-ZZjVU77UqRduZpkdcIFXTPH5luBocUCQwm3E8X4lotiKgLggljYC57tYfyW_uEaiJeUiHsHh5s2yc0EmqtOvpJW_odGemSaFx3uG32QJtbd8F0MJCUga23BxnOCloKjqqSn3xvYgJb9rI6-_2miM1-SNmbtZDoAP8JVI/8h4UZDTebFpHg2jeMS602p7xobB1RTCjwE7DVhev5D8),,https://www.govinfo.gov/content/pkg/CFR-2012-title9-vol2/pdf/CFR-2012-title9-vol2.pdf,
31 U.S.C. § 1111; 503; 41 U.S.C. § 405,"COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS","This policy outlines principles regarding budget allocation for state, local, and tribal governments. They ensure effective use of government funding.","""COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS""","Department of the Interior,Department of Health and Human Services,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,N/A,Appropriations - Emergency Response,Not applicable,Domestic,No,Regulation,Yes,Outlines principles for appropriations and cost-sharing for Tribal Nations,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,4,1/1/2012,,CFR-2012-title2-vol1-part225.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/djj9GP7jXgqpGO7zLW7h3Q/tVybu3jBdP5yBybPClofAk3N5eFXm0jy1dQOTLG9z8SDoEClYLJWOzcPWIAErYGkPgfYXx0-CcyyJFTWrFHencQRwZS_BuW5JxGztpPZ9Tmwb_4vOkrystOD7OmahoQ-kO8w2yXFIhNJ0Fk1CjXv2jiAtLrY2ekAnRb7BBYf01r13uY0HnNCrBcVkelWl8uG/yDhwHt2bmTqiKLms68r7UoIs0a5CV1LjtITQO4BNoqg),,https://www.govinfo.gov/content/pkg/CFR-2012-title2-vol1/pdf/CFR-2012-title2-vol1-part225.pdf,
7 C.F.R. §§ 789.1–789.73,Defense Production Act,Agriculture Priorities and Allocations System,Defense Production Act of 1950,Department of Commerce,Defense Production Act invocation,Needs a health emergency sufficient to invoke the Defense Production Act,"Government Contracts,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,Yes,"Provides rules surrounding federal assistance, priorities, and allocations in emergency settings",No,"* § 789.8 - Definitions
* § 789.20–24: Special Priorities Assistance
* § 789.40-43 - Official Actions","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Parallel Table U.S.C.,,9/8/1950,8/13/2018,Defense_Production_Act_2018.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/2aOet_Y70kcP6OgUg94Faw/s7lqrpUGHsQUyC1eth05nt03RTwn2qCYcrttSDkdLIvFSFBXrehIsk6UM-zllyyJiiu43Q3D0kQGe3i0uGvLMM7lKn-Wg-MqaxzmfbjLE4C6Djwv7c3sdan4R4UM0lAXLXk9FyoZn5toxmfOfWvf20m6oeGxoc5H2vL9yMIh3MgYoziUNaLBsgv8wgTjyPlG/BdbNi9DzCwva8864E5C55ISwSZGuaUr4gPZ0la4QeVI),,https://www.fema.gov/sites/default/files/2020-03/Defense_Production_Act_2018.pdf,
50 U.S.C. § 4501 et seq,Defense Production Act of 1950,"The Defense Production Act (DPA) authorizes the President to direct private industries to prioritize and expedite the production of materials and goods essential for national defense. It was triggered by the Korean War (1950) and can be activated during various emergencies. The main stakeholders include the President, federal agencies, and private industry.",Defense Production Act of 1950,POTUS or Executive Office of the President of the United States,"Act of War,Health Emergency,Natural Disaster,Presidential Major Disaster Declaration,NEA Emergency Declaration,Terrorism","""In support of national defense, HHS leverages Defense Production Act (DPA) authorities to build a robust and resilient public health supply chain capable of responding to emergency public health threats. These authorities can be used across the federal government to ensure that the domestic industrial base can provide essential materials and goods necessary and appropriate for the national defense."" (https://aspr.hhs.gov/legal/DPA/Pages/default.aspx)","Defense Production Act,Provision of Supplies",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,2,9/8/1950,8/13/2018,Defense_Production_Act_2018.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/2aOet_Y70kcP6OgUg94Faw/s7lqrpUGHsQUyC1eth05nt03RTwn2qCYcrttSDkdLIvFSFBXrehIsk6UM-zllyyJiiu43Q3D0kQGe3i0uGvLMM7lKn-Wg-MqaxzmfbjLE4C6Djwv7c3sdan4R4UM0lAXLXk9FyoZn5toxmfOfWvf20m6oeGxoc5H2vL9yMIh3MgYoziUNaLBsgv8wgTjyPlG/BdbNi9DzCwva8864E5C55ISwSZGuaUr4gPZ0la4QeVI),,https://www.fema.gov/sites/default/files/2020-03/Defense_Production_Act_2018.pdf,
SMG 1401.1,Delegation of Authority to Regional Administrators,"This document outlines the FDA's policies for emergency response, which is invoked during public health emergencies to provide structure and ensure safety.",Delegation of Authority to Regional Administrators,"Food and Drug Administration,Department of Health and Human Services",Health Emergency,A significant public health threat can be catered to with this policy regarding immediate action.,Strategies and General Preparedness Efforts,Not applicable,Domestic,No,Other,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,3,1/20/2011,,SMG-1401.1--Policy-and-Procedures-Governing-Regulatory-and-Administrative-Delegations-of-Authority-(DOAs).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/RjK-SHyyyXSszapkQpykyg/wKu0Gt3u27KZgI9aqyOKFJpODXb_9yBGHhBaGNs5b5-rO7iz34eK7zDziAQ_bYlKaGYayD4iDLeZiWai6Mj75CuKLj46TbQ8EzpfZJ787_ua95eM6Kvq81fVkfhiK2QlL8eIWU4U8K8Q9xjvdf_jdy-chST7wI8DheHfFOe5Oz_N-8P1WVs3Zt5FbF_BVDsps58PU_GGpSzfoFwuuzKH7gLMBrTtSql1wxsZWxcXjm57eWWKmArnYPzVgQbjCzXJqXk9cRWRkzCp_w4nFtNCHB5PuuWK3oUsut5YE6qMMTU/KYU8OD4e6wQUzaxcZhBc9R9aCe9cotigWYNo7xB4XJU),,https://www.fda.gov/media/79850/download,
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205",Disaster Recovery Reform Act of 2018,This act established the Building Resilient Infrastructure and Communities disaster mitigation program. It authorized FEMA to provide grants to states/local governments for housing programs after major disasters.,Disaster Recovery Reform Act (DRRA),"Federal Emergency Management Agency,Department of Homeland Security,Department of Housing and Urban Development,Environmental Protection Agency",No triggering event - Capacity Building,N/A,"Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Yes,Domestic,No,Legislation,,,,,,,FEMA DOLR,5,6/11/2018,,BILLS-115s3041is (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/aHWDjyMQEji-oN79thhHag/pY7q_2t63pPiKMjZW0QsF7613UTpM1OlpfGDSqWy6d0jA1fI2uKIq2x53fbLI5oiMbmXjfjWf68u1mWEgoc9GfwZV-wxV8NXo-i_dX8DjfHOHnPEmHmzdrtl8I8LLeGbQr9KHdd9PAk40vKgW5yoHQ/1-gmmRHqrMpIrGEW5YWLV5ztbTFhfP7Z0si2lgHmicg),,,
6 U.S.C § 101 et seq. ,Domestic Security,This title establishes the Department of Homeland Security and its role to protect domestic security against threats by enacting emergency responses. It was created in response to 9/11. Main stakeholders include FEMA and DHS.,USC Title 6,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,"Title VI contains responses to health emergencies, however. ","General Rules and Regulations,Strategies and General Preparedness Efforts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,No,,No,"* §§ 101-681g: Homeland Security Organization
* §§ 741-825: Comprehensive Preparedness System
* §§ 901-1003: Security and Accountability for every Port
* §§ 1500-1534: Cybersecurity ","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,3,7/30/1947,9/13/1982,USCODE-2015-title6.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/QfotM-ZXqF1mAzPteB_Hyg/pYiU3pmkbWNL-jpAKVqhPG2IlZuZJX0ChTbdnc5J8Z-PDvcNuQqHDC8ncdaQtoXgpWHvrextkNrLJWWIq7_7zwiaR66_SRfa1OyyeSxxKiBge4bLYRVoZXf31V2wgjJpT9LaINWbBL9IheNfrCF-b1HAJxojloIhrXDse8HUuoY/3dbTp0P3UygBYiI7OTgcULeK2blDFmIRyH-a8f_c-Z8),,https://www.govinfo.gov/content/pkg/USCODE-2022-title6/pdf/USCODE-2022-title6-chap1-subchapV-sec317.pdf,
47 C.F.R. § 11.54,EAS operation during a National Level emergency,Sets out requirements for Emergency Alert System,47 C.F.R. 11.54,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Must meet threshold for emergency or major disaster declaration under the Stafford Act. ,Communications,No,Both,Yes - Subject to Posse Comitatus,Regulation,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,12/28/1994,8/8/2024,47 CFR 11.54 (up to date as of 8-08-2024).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/XsZ_jrClk8ontXDu0CXw6A/E7PhnujFV24qRjsY2HT4TDBhg_sRK3QgoWzzQIzr4ugdcfS-_E9p1SqracTNUSu8Y-nwH5Uo4myNVmWDfgfCgVz63D0EKsq5UNuRbPogibb3zIAM99vprdxXjkzTb7f3mSFPw9TN9BGzYr_5iitDIqcWg9K3-QbERW_eif8reFDwX4Re-oj33RbTUYwmOqhj/s1CFgaSdYVHhi9o6u7-UTg8HL1bi4Ss03j_ouPXyn3U),,https://www.ecfr.gov/current/title-47/chapter-I/subchapter-A/part-11/subpart-D/section-11.54,
48 C.F.R. § 18,Economy Act,Federal Acquisition Regulation - Emergency Acquisitions,FAR,"General Services Administration,Department of Defense,National Aeronautics and Space Administration","Terrorism,Act of War,Presidential Major Disaster Declaration,Presidential Emergency Declarations,NEA Emergency Declaration,Natural Disaster","Flexibilities may be used: (a) in support of a contingency operation; (b) to facilitate the defense against or recovery from cyber, nuclear, biological, chemical, or radiological attack against the United States; (c) in support of a request from the Secretary of State or the Administrator of the United States Agency of International Development to facilitate the provision of international disaster assistance; or (d) When the President issues an emergency declaration, or a major disaster declaration","Waiver,Provision of Supplies",Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Yes,Additional flexibilities on appropriations and acquisition rules,Yes,"* § 18.1 - Available Acquisition Flexibilities 
* § 18.2 - Emergency Acquisition Flexibilities 
* § 18.202 - Defense or recovery from certain events
* § 18.203 - Emergency declaration or major disaster declaration 
* § 18.204 - Humanitarian or peacekeeping operation ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,4/1/1984,5/22/2024,FAR.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ewfX-pdgy0QAp6X7vkf39g/NPuVX_YggCFjBoWWuJ106NPIaI2pjK8_fUj1KbjFKfH-JifRfWbnHluQ6bFyDS-GVunxoVQ1v2YkozVTNRTKTSsigD4fpp8nBOEpYKHHjVGNe46xEDkgjFDPd-7A9JhEHQ_SmWiEHcn76JcKSDxS7A/WYYQupoDy-5dgRPtnC0MkdJSqs2Vn4ARyXLunk_r3Tk),,https://www.acquisition.gov/sites/default/files/current/far/pdf/FAR.pdf,
48 C.F.R. §§ 218,Economy Act,Defense Federal Acquisition Regulation Supplement - Emergency Acquisitions ,DFARS,Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration","Flexibilities may be used: (a) in support of a contingency operation; (b) to facilitate the defense against or recovery from cyber, nuclear, biological, chemical, or radiological attack against the United States; (c) in support of a request from the Secretary of State or the Administrator of the United States Agency of International Development to facilitate the provision of international disaster assistance; or (d) When the President issues an emergency declaration, or a major disaster declaration","Waiver,Provision of Supplies",Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Yes,Additional flexibilities on appropriations and acquisition rules,Yes,"* § 218.170 - Additional Acquisition Flexibilities
* § 218.201 - Contingency operation 
* § 218.202 - Defense or recovery from certain events
* § 218.203 - Emergency declaration or major disaster declaration
* § 218.204 - Humanitarian or peacekeeping operation ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,eCFR,,1/23/2006,8/15/2024,DFARS.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/LwpQWVDjwyo69B4nliBe8Q/CiXt82L5IoAWCZZXhpT8QQ9iKGc0JhrPm8TtCfg5bwpqqu6z77IhKw0UY0MTdTATv1XBM3ttEvWYRmYxFh1Qvv3K7wi6WUejRawGw_PsvQAIZENlJou7PdIJkVQs3KhSOjTPTOqehnMIauG0jXEHSg/SHZf82RKCERp0lbPLs0K8Z_nWiI8qPwoeovq0-JKzPs),,https://www.acquisition.gov/sites/default/files/current/dfars/pdf/DFARS.pdf,
"Defense Federal Regulation Supplement - Procedures, Guidance, and Information ",Economy Act,"Defense Federal Regulation Supplement - Procedures, Guidance, & Information - Provides guidance for implementing DFARS",DFARS PGI ,Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration","Flexibilities may be used: (a) in support of a contingency operation; (b) to facilitate the defense against or recovery from cyber, nuclear, biological, chemical, or radiological attack against the United States; (c) in support of a request from the Secretary of State or the Administrator of the United States Agency of International Development to facilitate the provision of international disaster assistance; or (d) When the President issues an emergency declaration, or a major disaster declaration","Waiver,Provision of Supplies",Not applicable,Both,Yes - Subject to Posse Comitatus,Supporting Document,No,,No,§ 218 - ,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,,,1/23/2006,7/29/2024,pgi_08152024.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/quamhd9Gf339rMzib9kZ2A/oY_FJzF2nAHlbxRoSY1Icq441TD4jc9GWzAToOXXFCdHcvmH6Q5SXIEkPs1dqmvQlCBWw2Wl8eJBjg6r8CtfvqvGhlAzW2Gyq1EoZFaseVfklx09h670vWlswK3VQ-kDtpqqYhiLy4jejvwwRFVYTVQGsVlQjiCNmqTGFyd84_Y/RCE03HUo_1ww98SBUfO4oQ5JSSHeWzvAFUuiawpi-Q8),,https://www.acq.osd.mil/dpap/dars/dfarspgi/current/,
34 U.S.C. §§ 50101–50112,Emergency Federal Law Enforcement Assistance Program ,"Assistance program that addresses law enforcement emergencies. If a law enforcement emergency arises, states may apply for assistance from the federal government. It helps alleviate costs, like overtime, incurred by law enforcement, in response to a law enforcement emergency situation. ",34 U.S.C. 510101,"Department of Justice,Department of Justice - Bureau of Justice Assistance",Law enforcement emergency,"Law enforcement emergencies are ""uncommon situation[s] which require[] law enforcement, which [are] or threaten[] to become of serious epidemic proportions and with respect to which state and local resources are inadequate to protect the lives and property of citizens or to enforce the criminal law.",Financial Assistance to states or Tribal Nations,Yes,Domestic,No,Legislation,Yes,Provides funding to localities to mitigate law enforcement emergencies,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,,,10/12/1984,11/2/2022,USCODE-2017-title34.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/cGAnHNoD5I48IluPAvVlGg/21tjRtMXmOudpqwyykgIGNZ910blUVtFcei-ayu2YO5Gkkrg4R4AhXxRXkSkJ1swhP431Qc4dFM5WLKgZrPtKWhq2xPhrfP8vwvY4tsBDVrk0HGcknknLNonzxyVOu7xT3JxzmTfb0njQkrbe8alI1qh19ZWtiYfIFt0xpH2jjY/CZQYBkCWXVGQReqtOnsbc7QmcPkpzEcS8zPlfUxIaw8),,https://www.govinfo.gov/content/pkg/USCODE-2017-title34/pdf/USCODE-2017-title34.pdf,
42 U.S.C. § 5196,Emergency Management Assistance Compact (EMAC),"This agreement facilitates resource sharing between states during emergencies and disasters. It provides a system for personnel, equipment, and commodities to be shared. It is enacted when the governor declares an emergency, and includes legal liability protection along with a reimbursement structure. ",Emergency Management Assistance Compact (EMAC),Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Federal-State Coordination,Provision of Supplies",Yes,Domestic,No,Legislation,Yes,Provides reimbursement schemas and other funding streams,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,5,10/19/1996,1/5/2023,USCODE-2022-title42-chap68-subchapIV-B-partA-sec5196.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/nyJnKdKpGzIkG3Gz6EE4HA/DnMQYeXEtqrLrd3gMI2A_z52yLTHdpoluKTAtgp1eGY5RJoitrIlezOzgUZKbk6yh4iZ_sME_i_p14ffn49zvz9iCQDGV7bu-vBomzjYEIQo_-CEvN7E0F7C46b0yzfOR0qrfljiFFCL7DnrGHJJwg/tjES9g3ZMf5kEz6Rc9O0GQp4B4iP4B7Orb_RyyZVmy4),"No specific agencies empowered (more about general decisions/chains)
",https://www.govinfo.gov/app/details/USCODE-2022-title42/USCODE-2022-title42-chap68-subchapIV-B-partA-sec5196,
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This regulation covers the framework for emergency responses with FEMA and HHS being the main agencies empowered to make decisions during crisis situations. ,5 C.F.R. § 2601.203-.204;,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Strategies and General Preparedness Efforts,Response Leadership,Mission Assignment/Response Coordination",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,4,6/1/2006,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/mVd-9C_9WSiFJBIMiu89YQ/aP_C8O7zQtJmUWAd810aE_w7HaPRwyrKTF8GdNghUoaXMVQRQLGk57qN9I9rGGpQgqqIsel19dm_WXU3kgqcUeNLXzKkTsDVZyUEhdhYblU2xiOhCVdv72BT4SI9TM7JI_pcBjkFsSyRKlNKTU9I4Lh1ZNDt8-ypP6JiEvLpT8mf8eYjctBNsPS11VrPbwoL/5K2VJeURQdSD96FRt0YQMinrRqCNP1vLU1Z4ghN646A),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,
42 C.F.R.§ 489.24,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Special responsibilities of Medicare hospitals in emergency cases,42 C.F.R. § 489.24 - Special Responsibilities of Medicare Hospitals ,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,"Provision of Medical Care,Waiver,Health and Safety Regulations",Not applicable,Domestic,No,Regulation,No,,Yes,"* 489.24(a)(2) - limits waiver under Section 1135 to 72 hours
","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,General Health Law,,4/4/1980,1/1/2023,42 CFR 489.24 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/2StzSGXDdulkFWT_BqmnGQ/7E0Amwg1KbYqW-dX3zc6hqyHhVI86J9lahFEO_avY2OOKuxbLukQMIZ_Nl_v6o_9Z6A4qNwmn6jkbPwR9_02Im-xRUzEjVJ51qUCahg8L_ErlStIuNLpe_nxMhkfcXyw-j8Hq11gwXQB5Po0G6KDJihLVJDcBunGur5m8q_b2TekfuQCzRjC1uznJD_MzkH0/IU9Fpk0VZcUmB8V6K2w2fut0yc7uazlggLSkfwNi-ZU),,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-G/part-489/subpart-B/section-489.24#,
