Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
50 U.S.C. § 3809,National Emergencies Act,The limit on the number of armed forces personnel assigned to the Selective Service System doesn't apply during a war or national emergency declared by Congress or the President. The System must be ready to operate immediately during a national emergency.,National Emergencies Act,Selective Service System,"Declaration of War,Act of War,NEA Emergency Declaration","There must be a war or NEA emergency declaration. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 2",
50 U.S.C. § 4531,National Emergencies Act,"During a national emergency declared by Congress or the President, certain conditions for the President to guarantee financing for national defense contracts under the Defense Production Act (DPA) don't apply.",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Waiver,Military Readiness,Provision of Supplies,Government Contracts",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 2",
50 U.S.C. § 4532,National Emergencies Act,"The President can waive some prerequisites and the $50 million cap on direct federal loans for expanding production capacity for national defense under the DPA during a national emergency declared by Congress or the President.

",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, or under this provision, Congress too. ","Waiver,Military Readiness,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,Yes,Lifts cap on spending and allows additional appropriations.,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
50 U.S.C. § 4533,National Emergencies Act,"During a national emergency declared by Congress or the President, the President can waive certain conditions to use the DPA to expand production capacity and supply in private industry for national defense purposes.






",National Emergencies Act,"Department of Defense,POTUS or Executive Office of the President of the United States",NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President, or in this case, Congress too.","Waiver,Military Readiness,Provision of Supplies,Government Contracts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
49 U.S.C. § 47152,National emergencies Act,"The Secretary of Transportation can use, control, or take possession of any part of a public airport on surplus government property during a national emergency declared by the President or Congress.",National Emergencies Act,Department of Transportation,NEA Emergency Declaration,"The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ",Waiver,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,12/27/2021,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/YMymKZdb5CFJAwwg5OvP1Q/2BTHQvjIBMvS7RRVlbzAsUBlaSoS-4lRRUZd0uvQVfBW6p0J_PUGOx7ofDSdnBDZrLIQQn5IO7eCwiyLHvxUmea8fCFFWHW_C4ltPGrKXXUL70iE3dxl6J3S-1ZlwxNuI40fBYc3n8PSZhknTBQR0Xvhw6wZHYsWDofyGBjxkR4/h7XR2qiYqkJ3Tlww8sLAXZjy6Lh6RIEVFDEO1ylkMRs),,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
"50 U.S.C. §§ 403, 405.",National Security Act of 1947,"The National Security Act of 1947 created a framework, framework for coordinating U.S. national security, through the creation of institutions such as the National Security Council (NSC) and the agencies such as the Central Intelligence Agency (CIA). The act was fueled by the need for a stronger, coordinated national defense strategy post WWII. The main stakeholders include the President, the NSC, and intelligence agencies. Under the NSA actions strategic planning and intelligence coordination to address threats to national security. ",National Security Act of 1947,"Central Intelligence Agency,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,National Security Resources Board,Executive Office of the President of the United States - National Security Council",No triggering event - Capacity Building,"N/A
",Strategies and General Preparedness Efforts,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,,FEMA DOLR,2,7/26/1947,11/25/2002,1947-07-26.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/80XZpzss02ri67x0KbaImg/DssS4NWNZ7x_TaJvmHNB-bQ3neVgqVJ_kO7wbe6pFlmnpDcrveNUfG0zMEoj-ooQUxfkMCyCq8vacdUt9WkGt55Fx2JD2Z7gtnWzYwEV3tvwK7ZuSpKyvBnp0Kah4rpkuPcsVnz6ZLANmR8DhOQO0g_3QBxrBi0-F2-hG7fDkM8/ZQW2W5R8LOkD_svzvxQnyPlsoWstesquYQj3VPTioxk),*unclear how the military is involved in relation to Posse Commitatus,https://www.cia.gov/readingroom/docs/1947-07-26.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 208 ,National Urban Search and Rescue Response System,Sets out the rules and regulations for the National Urban Search and Rescue Response System,Title 44 of CFR,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,Sets out funding for National US&R Response System,No,"* § 208.12 - Maximum Pay Table
* § 208.2 - Definitions of terms used in this part
* § 208.3 - Authority for the National US&R Response System
* § 208.4 - Purpose for system
* § 208.5 - Authority of the Assistant Administrator for the Disaster Operations Directorate
* § 208.9 - Agreements between Sponsoring Agencies and Participating Agencies
* § 208.11 - Federal status of System Members
* § 208.22 - Preparedness Cooperative Agreement process
* § 208.23 - Allowable costs under Preparedness Cooperative Agreements
* § 208.37 - Reimbursement for equipment and supply costs incurred during Activation 
* § 208.38 - Reimbursement for re-supply and logistic costs incurred during activation ","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
5 C.F.R. § 230,Office of Personnel Management - Civil Service Regulations,Agency Authority to take personnel actions a national emergency ,5 CFR 230 ,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations","A national emergency involves an ""attack on the U.S."", it must be declared by the President or Congress; involves danger to U.S. safety security or stability resulting from national, specified circumstances; and requires a national program specifically intended to combat the threat to national security ",Waiver,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,9/21/1979,6/15/2004,5 CFR Part 230 Subpart D (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/06-rl0X3NGJKxH5PT0Ksww/hXMDVdEUG0qSGrU4GutGI8-7-9zZi3PKfRgXMOl9dDLXRiwteToKVLAojTrHdvpdu2BZGXC4ktB_GzHdnOAloL41ag1URw1K6YC-Eo3bCqma-Ok6YiRtTv-M-63NWFIiufj8vwlZMLiQ5TPC0-nJIBpxCL5WqoJ8Tf9oxip4b4ihwj8_P6HtLadJeDEF_iB0ONkpdyp9duoUxNPgm7PE2A/3i6m9spRvlsbloCfG7RpqupYkf4liObmNqrXOtDs7I4),,https://www.ecfr.gov/current/title-5/chapter-I/subchapter-B/part-230,No,,Yes,,"Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. 201 et seq.,Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),"This law broadly addresses the national security threat of disease outbreaks through an array of powers aimed toward enhancing pandemic preparedness and response during health emergencies. This law specifically includes provisions on the movement of military healthcare workers operating in trauma centers, and the development and distribution of medical countermeasures. ",Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),"Department of Health and Human Services - Centers for Disease Control and Prevention,Administration for Strategic Preparedness and Response,Department of Health and Human Services","PHSA Emergency Declaration,NEA Emergency Declaration"," If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA. The NEA does not define what an ""emergency"" is for the purposes of the Act. It is a qualitative judgment left to the President. ","Movement of Medical Personnel,Provision of Medical Care,Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Health and Safety Regulations,Strategies and General Preparedness Efforts",Not applicable,Domestic,Public Health Corps,Legislation,,National Disaster Medical System [NDMS] and National Medical Surge,,6/24/2019,6/24/2019,PLAW-116publ22.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/1Ph2k1yBZLHbZg44_bOhBg/iI0iiXCgDXo1NHi0_FfOiUl_0ptj0Fp02OO8Um8fnPXMxCpfO_7m0F2C1974kGAgICJcg96ptH4_3afgG4rFnKGCXCmb1RlxsYyEcrL-lRHaZpQVw9C3FEhmDyIVA9fipUb0CIFkvZ0lP4XCV4ttO4h5pFrRaiTpxnADwRAcia0/ob9l8tZ9zJcriARN8nzvDvpJvdi7sa9yEwfPUM1HAu0),"I'm marking this as exclude because I literally coded the entirety of the PHSA, which is just this. ",https://www.congress.gov/bill/116th-congress/senate-bill/1379/text,Yes,"For the purpose of carrying out the duties and responsibilities of the Commissioned Corps under this section, there are authorized to be appropriated $5,000,000 for each of fiscal years 2010 through 2014 for recruitment and training and $12,500,000 for each of fiscal years 2010 through 2014 for the Ready Reserve Corps.",No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d,Scenario 1",
6 U.S.C. § 725,Post-Katrina Emergency Management Reform Act (PKEMRA),"The Post-Katrina Emergency Management Reform Act (PKEMRA) was enacted in 2006 improves the federal government’s disaster preparedness and response capabilities  in the United States. Main actors include the Federal Emergency Management Agency (FEMA), state and local governments, and the Department of Homeland Security. It is triggered by major disasters and emergencies, and enables actions such as enhanced coordination, resource allocation, and response efforts.",Post Katrina Emergency Management Reform Act,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Major Disaster Declaration,Presidential Emergency Declarations","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Response Leadership,Mission Assignment/Response Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,10/4/2006,,Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/o8N0iBjJHNGZTn1VFh2GZQ/4JUj70no_XCqJUc0J5uoUXqZa2iqrQOOL_NCykrYHyTevCF8HPcJwAIDGZxbxEB5LMCuG1fGXqpFrh7bPwvEVihSAPpWhGaTD2hvzEjfhSi67GkZlL67Q_5I09emzrf04q6Xq5zoSlcRDwWkuPUDjzhcUQQgg6fpoXcxw1by5GNsHdR82DGmkzA5B6gFGSU-3AWmYblns3npHxucaMS9aw/HMTlHsqgoVDs_mHr2CMD1p7G1f_2_kLgTOHRIGTaJ4g),,https://www.doi.gov/sites/doi.gov/files/uploads/Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf,Yes,Provides individual and state-level assistance with disaster recovery,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. § 413.75,Principles of Reasonable Cost Reimbursement; Payment for End-Stage Renal Disease Services; Prospectively Determined Payment Rates for Skilled Nursing Facilities; Payment for Acute Kidney Injury Dialysis,Provides 1135 waivers to allow Medicare payment in disasters and emergencies in certain circumstances,Title 42 CFR,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Waiver,When Stafford is trigger,Domestic,No,Regulation,Include,eCFR,,,8/1/2020,CFR-2020-title42-vol1.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/oOeLtEnQQWFepAL7A_jrSQ/nXz3HD3WyGFegHlRaInSWgZXIAcv_UxSfsyTAy-LGNWqJfaGcK8BwD8-tvyd9BJbMngDyWAS036u_iXmF27Ypxl7hcD6OGapk_fWNpac1uk5T93QOaNfzdVPIerBdG76oZxFMaL14bWqadP_cTZ4pC9myImY-aFAh2f-APYodRU/tHGdF0zyAFlabbgChMnul5zndCKgfdoAhNRTqKbZ_Mo),,https://www.govinfo.gov/content/pkg/CFR-2020-title42-vol1/pdf/CFR-2020-title42-vol1.pdf,Yes,Provides Medicare payment waivers,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. §§ 206.200 – 206.253,Stafford Act,"This section outlines the Public Assistance Project Administration, detailing the process for applying for rebuilding public infrastructure following a major disaster or emergency and types of grants available. It covers insurance requirements heavily, stating that facilities in Special Flood Hazard Areas must maintain flood insurance, the Regional Administrator determines insurance for non-flood disasters, insurance proceeds are deducted from eligible costs, and insurance requirements may be waived for projects under $5000. ","""Public Assistance
Grant Administration, Eligibility, and Insurance Requirements""",Federal Emergency Management Agency,Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Response Leadership,Infrastructure",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,5,10/1/2023,12/11/1991,CFR-2023-title44-vol1-sec206-253.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/7tc6XajPYkaqWuYZWkj41g/jmORYSnpfhJcn16b4bYRAPjuyOTy5ocDRUwgBfdjNympWduav066_6AFlDtW3e9WIPaQ5Z7UkrqMpEPAkPJVJ_67dqNeXRL0CmXxLCqa6QR2Pjb1W8ggIGuveziJ06zhY_47zuDsvZgfu2_23EMz7A/P9Rkl4xlMx0rpTqINwlSACS_I42oQcUUUeU4Pn_lUOI),,https://www.govinfo.gov/app/details/CFR-2023-title44-vol1/CFR-2023-title44-vol1-sec206-253,Yes,Outlines grant streams for replacing infrastructure and creating hazard prevention plans and insurance,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
21 U.S.C. § 360eee-1,Public Health Service Act,Requires that the HHS Secretary set issue guidance for groups/individuals to request waivers of certain product tracing requirements. ,Public Health Service Act,Department of Health and Human Services,"Health Emergency,No triggering event - Capacity Building","If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA. However, a PHSA declaration is not sufficient for waiver authority. There must also be an NEA declaration OR a major disaster declaration under Stafford. ",Waiver,Not applicable,Domestic,No,Legislation,Include,PHSA,,7/1/1944,7/2/2024,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/U_WTB2imXSCeDNH71fS4kA/Ijf4NNgwuPSjgU6SIBuAqHXlgojpbqjPVrU1X84IXCC8sUzkUlG72gFoHvLPK9WDkfO2jhjVwDicIb3TBcgcCL_PduFPhE_hoszAjoyiVPV4oJoHAEW-1FKYB5RMTUyKxHe_xglqGAtLSjaUWMDkXQ/jmkSwGZfnq1plmXgehywYKz4tLHHNyDnOYddX5EAzhk),"*unclear on whether there is or is not a state trigger, I think that there isn't one based off my current research, however, Cornell Legal Info Institute alludes to the potential for state triggers ",https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
